run,save,coverageErrorMs,coveragePassed,cpuMean,frames,gpuMean,localSchedulerIntervalCount,mode,process:accepted_draw_dispatch,process:accepted_draw_observer_candidate,process:colour_copy_sanitation,process:d3d_lock_execution,process:guide_encoding,process:input_preparation,process:leaf_csx,process:leaf_d3d11,process:leaf_kernel_sync,process:leaf_ngx_dlss,process:leaf_nvidia_um,process:leaf_openvr,process:leaf_other,process:leaf_skyrim,process:leaf_streamline,process:material_guard_union,process:material_probe,process:material_should_skip,process:native_resolved_render,process:native_stereo_boundary,process:native_unresolved,process:per_eye_submit,process:presentation_mutex_candidate,process:readback_wrapper,process:relatch_service,process:render_wrapper,process:retain_light,process:retain_scene,process:retention_allocator,process:retention_folded_reference_candidate,process:retention_hash,process:retention_reference,process:retention_spin,process:retention_vector,process:submit_upscaled_frame,process:temporal_union,process:truepbr_material_predicate,process:vendor_evaluate,processMissingStackMs,processSampled,processUnresolvedCsxMs,ready,readyPct,recordedFps,render:accepted_draw_dispatch,render:accepted_draw_observer_candidate,render:colour_copy_sanitation,render:d3d_lock_execution,render:guide_encoding,render:input_preparation,render:leaf_csx,render:leaf_d3d11,render:leaf_kernel_sync,render:leaf_ngx_dlss,render:leaf_nvidia_um,render:leaf_openvr,render:leaf_other,render:leaf_skyrim,render:leaf_streamline,render:material_guard_union,render:material_probe,render:material_should_skip,render:native_resolved_render,render:native_stereo_boundary,render:native_unresolved,render:per_eye_submit,render:presentation_mutex_candidate,render:readback_wrapper,render:relatch_service,render:render_wrapper,render:retain_light,render:retain_scene,render:retention_allocator,render:retention_folded_reference_candidate,render:retention_hash,render:retention_reference,render:retention_spin,render:retention_vector,render:submit_upscaled_frame,render:temporal_union,render:truepbr_material_predicate,render:vendor_evaluate,renderMissingStackMs,renderSampled,renderUnresolvedCsxMs,running,runningPct,wait,waitPct
Today R1,12,6.286300028517871,False,8.279,1042,7.467,,DLSS,0.0,0.0,0.0047995201535508646,0.0,0.009600191938579656,0.0,1.1874523992322472,0.9038493282149712,7.594475431861805,0.0528158349328215,2.8821028790786944,0.12417149712092135,5.089304222648748,12.470495969289816,0.02121391554702495,0.0,0.0,0.0,0.0,0.0,12.470495969289816,0.4248903071017278,0.0,0.022095201535508636,0.0,0.0019199616122840691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717462571976968,0.024015163147792708,0.0,0.13827389635316698,454.93289999999996,30.325881477927112,0.0,0.04630163150440084,0.48246300027585676,104.2,0.0,0.0,0.0047995201535508646,0.0,0.009600191938579656,0.0,1.17193416506718,0.8922493282149712,1.7227736084452991,0.0528158349328215,0.4418988483685219,0.12033272552783114,1.4319860844529728,3.2886132437619966,0.02121391554702495,0.0,0.0,0.0,0.0,0.0,3.2886132437619966,0.4248903071017278,0.0,0.022095201535508636,0.0,0.0019199616122840691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717462571976968,0.024015163147792708,0.0,0.13827389635316698,50.3551,9.14381775431862,0.0,9.179587044145203,95.65129699999301,0.37707322456970366,3.929103000016312
Today R1,13,1.6206000134843634,True,12.483,589,10.222,,DLSS,0.0,0.0,0.006794397283531409,0.0,0.008493039049235993,0.0,2.281856196943972,1.8222916808149394,8.853890831918497,0.04587996604414262,4.88488353140917,0.1734949066213922,5.8098691001697835,23.76728522920202,0.01868658743633277,0.0,0.0,0.0,0.0,0.0,23.76728522920202,0.4255597623089983,0.0,0.0034003395585738535,0.0,0.0033916808149405775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29557640067911706,0.0067920203735144305,0.0,0.14440899830220721,229.58740000000003,47.65813803056014,0.0,0.04809677421378997,0.2832900001192229,58.9,0.0,0.0,0.006794397283531409,0.0,0.008493039049235993,0.0,2.25773803056027,1.8068772495755512,2.5820779286926987,0.04587996604414262,0.7598123938879459,0.1514193548387097,1.9449193548387103,6.6379796264855795,0.01698879456706282,0.0,0.0,0.0,0.0,0.0,6.6379796264855795,0.4255597623089983,0.0,0.0034003395585738535,0.0,0.0033916808149405775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29557640067911706,0.0067920203735144305,0.0,0.14440899830220721,39.1867,16.20369269949068,0.0,16.155229371815754,95.15430099999479,0.7773539898167773,4.578615000020818
Today R2,08,0.2408000005689246,True,5.726,599,10.331,,DLAA,0.0,0.0,0.0016682804674457428,0.0,0.0,0.010020033388981636,1.4958237061769615,1.4549125208681115,22.042777629382318,0.04675659432387311,4.128619866444072,0.10234507512520868,6.791607512520864,13.16899348914854,0.02003355592654424,0.0,0.0,0.0,0.0,0.0,13.16899348914854,0.13594524207011688,0.001669449081803005,0.043452086811352264,0.0,0.001675459098497496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04512754590984976,0.0,0.11187646076794655,512.3409999999999,49.25186994991648,0.0,0.1519020033405417,0.9098930000098449,59.9,0.0,0.0,0.0016682804674457428,0.0,0.0,0.010020033388981636,1.4623606010016694,1.4482347245408995,1.6423632721202015,0.04675659432387311,0.667657429048414,0.09400083472454092,1.7251828046744546,6.869068280467462,0.02003355592654424,0.0,0.0,0.0,0.0,0.0,6.869068280467462,0.13594524207011688,0.001669449081803005,0.043452086811352264,0.0,0.001675459098497496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04512754590984976,0.0,0.11187646076794655,55.3165,13.975658096828012,0.0,14.007852587645205,83.90703699999477,2.535138230384152,15.185478000001071
Today R2,09,0.7945000031486416,True,5.252,932,8.402,,DLAA,0.0,0.0,0.0,0.0,0.0,0.004292274678111588,0.8590434549356222,0.8492334763948495,6.293218347639489,0.049372639484978546,3.627986695278969,0.11401448497854079,4.657621995708156,6.8915453862661,0.019309012875536484,0.0,0.0,0.0,0.0,0.0,6.8915453862661,1.3221151287553652,0.0,0.05081223175965665,0.0,0.0021458154506437768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052958047210300424,0.0,0.1588262875536481,381.2557,23.36134549356228,0.0,0.06526362660853731,0.6082569999915677,93.2,0.0,0.0,0.0,0.0,0.0,0.004292274678111588,0.8515327253218883,0.8406497854077252,1.2849111587982827,0.049372639484978546,1.3141581545064382,0.10757671673819744,1.0854424892703862,2.795349141630903,0.019309012875536484,0.0,0.0,0.0,0.0,0.0,2.795349141630903,1.3221151287553652,0.0,0.05081223175965665,0.0,0.0021458154506437768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052958047210300424,0.0,0.1588262875536481,44.089200000000005,8.348301824034333,0.0,8.399389377684631,78.28230900002076,2.2658131974269478,21.117379000019156
Today R2,10,0.5074000294443977,True,5.879,999,8.346,,DLAA,0.0,0.0,0.0,0.0,0.0,0.006004604604604605,0.9986482482482478,0.980041841841842,19.764216916917,0.044054654654654656,3.488872372372372,0.10139319319319318,6.0180242242242095,7.468118918918922,0.020049449449449447,0.0,0.0,0.0,0.0,0.0,7.468118918918922,0.7945939939939936,0.0,0.04900260260260261,0.0,0.001002902902902903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000550550550551,0.0,0.12614294294294295,755.1313000000001,38.883419819819515,0.0,0.11259799802641678,1.1248540002839036,99.9,0.0,0.0,0.0,0.0,0.0,0.006004604604604605,0.9966462462462459,0.9719562562562564,1.4309748748748763,0.044054654654654656,0.9243730730730728,0.09638818818818817,1.3100043043043037,3.746286686686687,0.019048448448448448,0.0,0.0,0.0,0.0,0.0,3.746286686686687,0.7945939939939936,0.0,0.04900260260260261,0.0,0.001002902902902903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000550550550551,0.0,0.12614294294294295,68.4069,9.539732732732741,0.0,9.500066366364496,94.90566299998132,0.39785355355647867,3.974557000029222
Today R2,11,1.4368999982398236,True,7.861,1053,7.183,,DLSS,0.0,0.0,0.0009497625830959164,0.0,0.007598195631528965,0.0,1.2361576448243108,0.833925356125356,19.88151566951555,0.04466780626780626,2.658170560303893,0.1207866096866097,6.983406457739791,13.472564387464411,0.016148907882241215,0.0,0.0,0.0,0.0,0.0,13.472564387464411,0.4081362773029438,0.000949667616334283,0.013334093067426401,0.0,0.0028491927825261163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2660379867046533,0.016183285849952513,0.0,0.12352943969610634,790.6863999999997,45.247343399809886,0.0,0.14088157644668636,1.4834829999836074,105.3,0.0,0.0,0.0009497625830959164,0.0,0.007598195631528965,0.0,1.220962962962962,0.8225236467236465,1.8258278252611588,0.04466780626780626,0.3560427350427351,0.11412203228869898,1.3213104463437806,3.1717080721747366,0.015199240265906933,0.0,0.0,0.0,0.0,0.0,3.1717080721747366,0.4081362773029438,0.000949667616334283,0.013334093067426401,0.0,0.0028491927825261163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2660379867046533,0.016183285849952513,0.0,0.12352943969610634,72.46539999999999,8.892364767331426,0.0,8.854378917379593,93.23661000000712,0.5027802469127891,5.294275999991669
Today R2,12,1.616800033052641,True,8.06,1105,7.167,,DLSS,0.0,0.0,0.00362,0.0,0.008145610859728506,0.0,1.1259965610859723,0.8512313122171953,7.171061719457025,0.03991095022624435,2.7649113122171927,0.11797945701357461,4.858531493212669,12.16331819004522,0.024610135746606338,0.0,0.0,0.0,0.0,0.0,12.16331819004522,0.4549389140271494,0.0009060633484162897,0.029956289592760182,0.0,0.0018094117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2671676923076924,0.03176570135746606,0.0,0.11867972850678732,454.93589999999995,29.11755113122176,0.0,0.0465636199345994,0.5145280002773234,110.5,0.0,0.0,0.00362,0.0,0.008145610859728506,0.0,1.1160418099547509,0.8448198190045256,1.6976847963800905,0.03991095022624435,0.4300880542986425,0.10983466063348413,1.386577013574662,3.0144200000000003,0.024610135746606338,0.0,0.0,0.0,0.0,0.0,3.0144200000000003,0.4549389140271494,0.0009060633484162897,0.029956289592760182,0.0,0.0018094117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2671676923076924,0.03176570135746606,0.0,0.11867972850678732,72.2889,8.663987239818958,0.0,8.625645610862597,95.31338400003169,0.379027692309639,4.188256000021511
Today R2,13,4.133000015757716,True,11.409,594,9.961,,DLSS,0.0,0.0,0.003368518518518518,0.0,0.010103703703703703,0.0,2.2398526936026926,1.7260787878787875,8.612900336700338,0.07747727272727271,4.800579966329964,0.14153956228956227,5.726671885521886,22.98094225589226,0.03034074074074074,0.0,0.0,0.0,0.0,0.0,22.98094225589226,0.45060622895622865,0.0016835016835016834,0.003368855218855219,0.0,0.0033673400673400675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200257575757575,0.0067361952861952875,0.0,0.17349562289562293,257.2435,46.33638350168345,0.0,0.04559680136804728,0.27084500012620083,59.4,0.0,0.0,0.003368518518518518,0.0,0.010103703703703703,0.0,2.204405387205385,1.7074569023569022,2.337259595959596,0.07747727272727271,0.7390811447811453,0.12470454545454543,1.9030860269360246,6.567156397306393,0.028657239057239058,0.0,0.0,0.0,0.0,0.0,6.567156397306393,0.45060622895622865,0.0016835016835016834,0.003368855218855219,0.0,0.0033673400673400675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200257575757575,0.0067361952861952875,0.0,0.17349562289562293,48.1016,15.689284511784544,0.0,15.695532323231339,93.23146199999415,1.1008456229018886,6.5390230000372185
Today R3,08,0.18850000232669117,True,5.98,598,10.296,,DLAA,0.0,0.0,0.005018060200668896,0.0,0.0,0.008363879598662208,1.627483277591975,1.420978762541806,21.89740317725743,0.06691287625418059,4.335158026755851,0.12915000000000001,7.624998829431445,13.085908193979922,0.028594481605351173,0.0,0.0,0.0,0.0,0.0,13.085908193979922,0.1345944816053512,0.0016722408026755853,0.04518996655518393,0.0,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051878929765886275,0.0,0.15556521739130433,485.8368000000001,50.216587625418086,0.0,0.15528311037105466,0.9285930000189069,59.8,0.0,0.0,0.005018060200668896,0.0,0.0,0.008363879598662208,1.5804747491638813,1.4142162207357858,1.6724147157190632,0.06691287625418059,0.6884722408026756,0.12580551839464885,1.8551670568561867,6.73178745819399,0.02692224080267559,0.0,0.0,0.0,0.0,0.0,6.73178745819399,0.1345944816053512,0.0016722408026755853,0.04518996655518393,0.0,0.006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051878929765886275,0.0,0.15556521739130433,47.1444,14.162173076923045,0.0,14.087279765886386,84.24193300000059,2.4801603678936073,14.831359000003772
Today R3,09,0.2718999976059422,True,5.408,953,8.371,,DLAA,0.0,0.0,0.004194858342077649,0.0,0.0,0.007343966421825813,0.8191347324239246,0.8781838405036722,6.32350734522561,0.053526652675760754,3.4764738719832105,0.11868363064008394,4.57081374606506,7.02594795383,0.01783693599160546,0.0,0.0,0.0,0.0,0.0,7.02594795383,1.2860001049317937,0.0,0.06569622245540399,0.0,0.0032733473242392446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896956977964325,0.0,0.12813725078698845,378.808,23.284108709338888,0.0,0.06865918152860812,0.6543219999676353,95.3,0.0,0.0,0.004194858342077649,0.0,0.0,0.007343966421825813,0.813885099685205,0.8718879328436513,1.297549527806926,0.053526652675760754,1.2254941238195172,0.11553567681007344,1.0410051416579214,2.8560256033578204,0.01783693599160546,0.0,0.0,0.0,0.0,0.0,2.8560256033578204,1.2860001049317937,0.0,0.06569622245540399,0.0,0.0032733473242392446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896956977964325,0.0,0.12813725078698845,47.089200000000005,8.292746694648468,0.0,8.290477649527277,79.00825199999494,2.134327911858707,20.34014500001348
