run,save,mode,metric,value,deltaVsMainVrBalancedMedian,deltaVsOriginal
Current R2,09,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current interrupted,09,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R3,09,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R1,09,DLAA,cpuSpikeGroups.dutyPercent,24.44,0.75,-5.18
Current R2,09,DLAA,cpuSpikeGroups.dutyPercent,25.2,1.509999999999998,-4.420000000000002
Current interrupted,09,DLAA,cpuSpikeGroups.dutyPercent,25.63,1.9399999999999977,-3.990000000000002
Current R3,09,DLAA,cpuSpikeGroups.dutyPercent,25.18,1.4899999999999984,-4.440000000000001
Current R1,09,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.16
Current R2,09,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.16
Current interrupted,09,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.16
Current R3,09,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.16
Current R1,09,DLAA,cpuSpikeGroups.maxGroupSamples,5.0,1.0,-1.0
Current R2,09,DLAA,cpuSpikeGroups.maxGroupSamples,5.0,1.0,-1.0
Current interrupted,09,DLAA,cpuSpikeGroups.maxGroupSamples,7.0,3.0,1.0
Current R3,09,DLAA,cpuSpikeGroups.maxGroupSamples,4.0,0.0,-2.0
Current R1,09,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R2,09,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current interrupted,09,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R3,09,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R1,10,DLAA,cpuTailMeanMs,7.168,0.7350000000000003,4.231
Current R2,10,DLAA,cpuTailMeanMs,7.307,0.8740000000000006,4.370000000000001
Current interrupted,10,DLAA,cpuTailMeanMs,7.249,0.8159999999999998,4.311999999999999
Current R3,10,DLAA,cpuTailMeanMs,7.533,1.1000000000000005,4.596
Current R1,10,DLAA,gpuTailMeanMs,8.784,0.2900000000000009,-1.251999999999999
Current R2,10,DLAA,gpuTailMeanMs,8.736,0.24200000000000088,-1.299999999999999
Current interrupted,10,DLAA,gpuTailMeanMs,8.69,0.19599999999999973,-1.346
Current R3,10,DLAA,gpuTailMeanMs,8.691,0.19700000000000095,-1.3449999999999989
Current R1,10,DLAA,cpuTailP95Ms,11.0,0.5999999999999996,7.8
Current R2,10,DLAA,cpuTailP95Ms,11.1,0.6999999999999993,7.8999999999999995
Current interrupted,10,DLAA,cpuTailP95Ms,11.1,0.6999999999999993,7.8999999999999995
Current R3,10,DLAA,cpuTailP95Ms,11.3,0.9000000000000004,8.100000000000001
Current R1,10,DLAA,cpuTailP99Ms,11.3,0.5,7.9
Current R2,10,DLAA,cpuTailP99Ms,11.6,0.7999999999999989,8.2
Current interrupted,10,DLAA,cpuTailP99Ms,11.6,0.7999999999999989,8.2
Current R3,10,DLAA,cpuTailP99Ms,11.8,1.0,8.4
Current R1,10,DLAA,gpuTailP95Ms,9.3,0.7000000000000011,-0.8999999999999986
Current R2,10,DLAA,gpuTailP95Ms,9.0,0.40000000000000036,-1.1999999999999993
Current interrupted,10,DLAA,gpuTailP95Ms,9.0,0.40000000000000036,-1.1999999999999993
Current R3,10,DLAA,gpuTailP95Ms,9.0,0.40000000000000036,-1.1999999999999993
